*i,month,r,value
hydD,MAR,p3,0.878
hydD,MAR,p31,0.853
hydD,MAR,p32,0.761
hydD,MAR,p33,0.795
hydD,MAR,p34,0.802
hydD,MAR,p35,0.783
hydD,MAR,p36,0.815
hydD,MAR,p38,0.822
hydD,MAR,p39,0.887
hydD,MAR,p4,0.901
hydD,MAR,p40,0.867
hydD,MAR,p41,0.882
hydD,MAR,p42,0.742
hydD,MAR,p43,0.86
hydD,MAR,p44,0.844
hydD,MAR,p45,0.858
hydD,MAR,p46,0.907
hydD,MAR,p48,0.669
hydD,MAR,p5,0.818
hydD,MAR,p50,0.738
hydD,MAR,p51,0.754
hydD,MAR,p52,0.807
hydD,MAR,p53,0.661
hydD,MAR,p54,0.866
hydD,MAR,p55,0.786
hydD,MAR,p56,0.781
hydD,MAR,p57,0.721
hydD,MAR,p58,0.769
hydD,MAR,p59,0.861
hydD,MAR,p6,0.814
hydD,MAR,p61,0.849
hydD,MAR,p63,0.714
hydD,MAR,p64,0.712
hydD,MAR,p65,0.777
hydD,MAR,p66,0.726
hydD,MAR,p67,0.679
hydD,MAR,p68,0.811
hydD,MAR,p69,0.809
hydD,MAR,p7,0.875
hydD,MAR,p70,0.802
hydD,MAR,p71,0.771
hydD,MAR,p72,0.866
hydD,MAR,p73,0.842
hydD,MAR,p74,0.938
hydD,MAR,p75,0.916
hydD,MAR,p76,0.935
hydD,MAR,p77,0.936
hydD,MAR,p78,0.932
hydD,MAR,p8,0.898
hydD,MAR,p80,0.866
hydD,MAR,p81,0.865
hydD,MAR,p82,0.768
hydD,MAR,p83,0.804
hydD,MAR,p84,0.852
hydD,MAR,p85,0.809
hydD,MAR,p86,0.659
hydD,MAR,p87,0.734
hydD,MAR,p88,0.764
hydD,MAR,p89,0.764
hydD,MAR,p9,0.853
hydD,MAR,p90,0.784
hydD,MAR,p91,0.795
hydD,MAR,p92,0.822
hydD,MAR,p93,0.798
hydD,MAR,p94,0.782
hydD,MAR,p95,0.781
hydD,MAR,p96,0.79
hydD,MAR,p97,0.834
hydD,MAR,p98,0.774
hydD,MAR,p99,0.847
hydD,MAY,p1,0.822
hydD,MAY,p10,0.866
hydD,MAY,p100,0.844
hydD,MAY,p101,0.747
hydD,MAY,p103,0.911
hydD,MAY,p104,0.923
hydD,MAY,p105,0.813
hydD,MAY,p106,0.811
